id_persona	forma	interval_escolta	clip	durada_s	veu_proporcio	rms_p10_db	rms_p50_db	rms_p90_db	zcr_p10	zcr_p90	f0_median_hz	f0_iqr_hz	centroid_median_hz	centroid_p90_hz	segments_veu	pausa_mediana_s	mostres_f0
pa-026	bé	99.97-103.47	clips/pa-026__b__99.97.wav	3.500	0.1897	-62.54	-51.55	-29.97	0.0563	0.2786	304.24	49.11	2115.92	2909.90	5	0.120	17
pa-026	perquè	150.53-156.67	clips/pa-026__perqu__150.53.wav	6.140	0.4575	-58.30	-37.47	-26.26	0.0344	0.2144	233.56	167.40	1224.15	2443.88	13	0.070	69
pa-026	reformeta	138.61-145.67	clips/pa-026__reformeta__138.61.wav	7.060	0.4460	-61.59	-39.48	-20.14	0.0516	0.2424	255.30	162.43	1706.53	2621.94	13	0.080	79
pa-027	crec	8.81-14.39	clips/pa-027__crec__8.81.wav	5.580	0.6295	-50.97	-31.10	-23.85	0.0355	0.1518	215.11	122.12	872.57	1886.53	15	0.060	88
pa-027	de fet	109.45-115.11	clips/pa-027__de-fet__109.45.wav	5.660	0.5674	-55.63	-32.50	-23.21	0.0344	0.1659	240.44	112.07	1065.96	2026.52	14	0.080	80
pa-027	evidentment	174.09-178.23	clips/pa-027__evidentment__174.09.wav	4.140	0.4951	-50.37	-35.07	-23.70	0.0430	0.2371	225.56	126.02	1147.38	2378.19	14	0.080	51
pa-027	perquè	8.81-14.39	clips/pa-027__perqu__8.81.wav	5.580	0.6295	-50.97	-31.10	-23.85	0.0355	0.1518	215.11	122.12	872.57	1886.53	15	0.060	88
pa-027	és a dir	185.61-192.87	clips/pa-027__s-a-dir__185.61.wav	7.260	0.5193	-63.67	-34.31	-20.90	0.0391	0.2487	238.33	73.10	1136.29	2710.30	15	0.060	93
pa-028	bé	182.49-187.39	clips/pa-028__b__182.49.wav	4.900	0.4426	-59.91	-37.51	-24.10	0.0188	0.2254	146.72	37.58	1393.46	2583.45	12	0.080	52
pa-028	clar	290.33-295.15	clips/pa-028__clar__290.33.wav	4.820	0.5792	-61.41	-33.19	-20.34	0.0172	0.1523	128.15	27.33	1006.32	2157.41	13	0.070	71
pa-028	de fet	31.17-37.07	clips/pa-028__de-fet__31.17.wav	5.900	0.6020	-60.64	-29.91	-21.97	0.0172	0.2150	134.02	18.99	1206.41	2591.19	9	0.110	88
pa-028	doncs	329.33-334.79	clips/pa-028__doncs__329.33.wav	5.460	0.5662	-54.67	-30.91	-19.34	0.0219	0.2560	142.45	21.92	1060.03	2747.74	14	0.080	78
pa-029	tirar endavant	56.73-63.23	clips/pa-029__tirar-endavant__56.73.wav	6.500	0.6821	-43.84	-30.47	-18.49	0.0423	0.1989	218.12	174.64	1030.16	2420.61	20	0.060	111
pa-030	a veure	673.41-676.91	clips/pa-030__a-veure__673.41.wav	3.500	0.4425	-57.53	-37.49	-21.83	0.0391	0.1743	157.28	117.00	1151.00	2259.78	10	0.060	40
pa-030	aleshores	392.41-397.91	clips/pa-030__aleshores__392.41.wav	5.500	0.3723	-62.14	-48.42	-22.07	0.0423	0.1879	237.48	138.51	1670.07	2364.72	8	0.080	51
pa-030	bueno	459.05-463.07	clips/pa-030__bueno__459.05.wav	4.020	0.3550	-53.21	-38.44	-27.91	0.0344	0.1603	135.58	94.41	1126.45	2087.82	12	0.080	35
pa-030	crec	346.45-352.99	clips/pa-030__crec__346.45.wav	6.540	0.4755	-65.43	-39.11	-19.89	0.0360	0.1651	273.60	172.02	1422.51	2203.58	13	0.080	77
pa-030	doncs	43.53-48.63	clips/pa-030__doncs__43.53.wav	5.100	0.5512	-57.27	-33.50	-25.34	0.0329	0.1549	126.79	84.37	1098.39	2097.15	9	0.060	70
