forma	id_persona	interval_escolta	interval_base	clip	estat_clip	sha256	duracio_s
aleshores	pa-014	119.85-128.75		clips/pa-014__aleshores__119.85.wav	existent-extraient-sense-overlap	63911bfb2d3d460013e3215e932ec4e6e6878c29586645ca7af2f37b28cb5a95	8.900
aleshores	pa-021	12.25-16.87		clips/pa-021__aleshores__12.25.wav	existent-extraient-sense-overlap	b97222824a9a6be0d866aa21eafb8c01052f4bb3111192b54b4a5c46d926e1c0	4.620
aleshores	pa-025	361.93-368.19		clips/pa-025__aleshores__361.93.wav	existent-extraient-sense-overlap	be98cda03e68589b1f774916fa60ef4aaa649b0210bc777f4c57af1c79ddf586	6.260
aleshores	pa-030	392.41-397.91		clips/pa-030__aleshores__392.41.wav	existent-extraient-sense-overlap	94a8266333b15baea8afe7b77f311b56ad8e65e588f0b8ba61dadd364c3c3aa4	5.500
aleshores	pa-031	54.09-57.91		clips/pa-031__aleshores__54.09.wav	existent-extraient-sense-overlap	d019cc898eb7cba9c1eeabe1e3a717ec298b1722c0c6b338cef450a0e1b97693	3.820
aleshores	pa-032	79.09-87.19		clips/pa-032__aleshores__79.09.wav	existent-extraient-sense-overlap	1b1bb44e83c8d79ff3c87e0634c94d781b3e1577af3346519993523c255137aa	8.100
aleshores	pa-045	1193.41-1197.91	1193.04-1197.04	clips/pa-045__aleshores__1193.41.wav	existent	a9cfd2561f71e8fc53262af15e35b36c2fac9c2301b4bb5186e43064c98074f5	4.500
aleshores	pa-046	527.57-532.55		clips/pa-046__aleshores__527.57.wav	existent-extraient-sense-overlap	0a52865bd466cef70ba154b285ba86e85eede5248397fdf5f4c5bfda26a8f1a7	4.980
aleshores	pa-048	701.05-707.67		clips/pa-048__aleshores__701.05.wav	existent-extraient-sense-overlap	92ea6396d4bee45e7243a825cbdb34d7bec6c809ecf317d9034027cb7baa06d3	6.620
aleshores	pa-049	110.29-118.67		clips/pa-049__aleshores__110.29.wav	existent-extraient-sense-overlap	ec9ab55dbb6b883a6759f0d6a2b3d0c7dc6c96a0ecf27d7215720a2ccafdbd08	8.380
aleshores	pa-056	393.13-397.83		clips/pa-056__aleshores__393.13.wav	existent-extraient-sense-overlap	8f6abda40a406d4b6d088777e6d46ad924a000b59b216e4e16aa25cd13af6759	4.700
aleshores	pa-060	147.17-151.47		clips/pa-060__aleshores__147.17.wav	existent-extraient-sense-overlap	56a437e5c2d386d9048f86609e58b9100f68164d9a4c45467cdd88148cc54fe6	4.300
aleshores	pa-063	151.45-155.23		clips/pa-063__aleshores__151.45.wav	existent-extraient-sense-overlap	9af43539cd8ed891d2454f4fe0b0a7589c5c483d856a08243a22b0aebd0b3d4c	3.780
