id_persona	forma	clip	json_full	estat
pa-041	crec	clips/pa-041__crec__56.25.wav	qa-clips-json-full/pa-041__crec__56_25.json	pendent-audicio
pa-041	ensenyança	clips/pa-041__ensenyan-a__523.25.wav	qa-clips-json-full/pa-041__ensenyan-a__523_25.json	pendent-audicio
pa-041	evidentment	clips/pa-041__evidentment__353.25.wav	qa-clips-json-full/pa-041__evidentment__353_25.json	pendent-audicio
pa-041	perquè	clips/pa-041__perqu__69.25.wav	qa-clips-json-full/pa-041__perqu__69_25.json	pendent-audicio
pa-042	perquè	clips/pa-042__perqu__29.13.wav	qa-clips-json-full/pa-042__perqu__29_13.json	pendent-audicio
pa-043	bueno	clips/pa-043__bueno__0.00.wav	qa-clips-json-full/pa-043__bueno__0_00.json	pendent-audicio
pa-043	crec	clips/pa-043__crec__102.25.wav	qa-clips-json-full/pa-043__crec__102_25.json	pendent-audicio
pa-043	és a dir	clips/pa-043__s-a-dir__107.25.wav	qa-clips-json-full/pa-043__s-a-dir__107_25.json	pendent-audicio
pa-045	a veure	clips/pa-045__a-veure__340.93.wav	qa-clips-json-full/pa-045__a-veure__340_93.json	pendent-audicio
pa-045	bé	clips/pa-045__b__83.49.wav	qa-clips-json-full/pa-045__b__83_49.json	pendent-audicio
pa-045	clar	clips/pa-045__clar__399.85.wav	qa-clips-json-full/pa-045__clar__399_85.json	pendent-audicio
pa-045	evidentment	clips/pa-045__evidentment__290.13.wav	qa-clips-json-full/pa-045__evidentment__290_13.json	pendent-audicio
pa-045	llavors	clips/pa-045__llavors__194.93.wav	qa-clips-json-full/pa-045__llavors__194_93.json	pendent-audicio
pa-045	o sigui	clips/pa-045__o-sigui__226.17.wav	qa-clips-json-full/pa-045__o-sigui__226_17.json	pendent-audicio
pa-046	bé	clips/pa-046__b__348.81.wav	qa-clips-json-full/pa-046__b__348_81.json	pendent-audicio
pa-046	diguem	clips/pa-046__diguem__626.01.wav	qa-clips-json-full/pa-046__diguem__626_01.json	pendent-audicio
pa-046	doncs	clips/pa-046__doncs__135.61.wav	qa-clips-json-full/pa-046__doncs__135_61.json	pendent-audicio
pa-048	a nivell	clips/pa-048__a-nivell__435.77.wav	qa-clips-json-full/pa-048__a-nivell__435_77.json	pendent-audicio
pa-048	a veure	clips/pa-048__a-veure__393.93.wav	qa-clips-json-full/pa-048__a-veure__393_93.json	pendent-audicio
pa-048	bé	clips/pa-048__b__495.73.wav	qa-clips-json-full/pa-048__b__495_73.json	pendent-audicio
pa-048	crec	clips/pa-048__crec__110.97.wav	qa-clips-json-full/pa-048__crec__110_97.json	pendent-audicio
