forma	id_persona	interval_escolta	clip	forma_en_qa	durada_s	veu_proporcio	rms_p10_db	rms_p50_db	rms_p90_db	zcr_p10	zcr_p90	f0_median_hz	f0_iqr_hz	centroid_median_hz	centroid_p90_hz	segments_veu	pausa_mediana_s	mostres_f0	nota
és a dir	pa-019	56.25-60.75	clips/pa-019__s-a-dir__56.25.wav	no	4.500	0.6920	-51.45	-29.37	-20.00	0.0485	0.2987	276.05	154.76	1050.05	3096.04	7	0.060	77	descriptor orientatiu; no és anotació fonètica
és a dir	pa-021	32.29-38.55	clips/pa-021__s-a-dir__32.29.wav	sí	6.260	0.5096	-60.00	-34.78	-22.07	0.0376	0.1858	219.66	133.66	1080.48	2236.47	20	0.060	81	descriptor orientatiu; no és anotació fonètica
és a dir	pa-022	11.49-17.91	clips/pa-022__s-a-dir__11.49.wav	sí	6.420	0.7344	-50.41	-28.30	-23.45	0.0390	0.2224	217.65	211.56	1092.92	2371.83	8	0.120	117	descriptor orientatiu; no és anotació fonètica
és a dir	pa-023	207.17-213.55	clips/pa-023__s-a-dir__207.17.wav	sí	6.380	0.6195	-53.49	-28.03	-20.83	0.0376	0.2146	139.57	33.91	947.49	2310.11	15	0.080	98	descriptor orientatiu; no és anotació fonètica
és a dir	pa-024	78.49-84.39	clips/pa-024__s-a-dir__78.49.wav	no	5.900	0.6497	-56.92	-31.79	-23.25	0.0423	0.1419	286.46	60.28	922.73	2196.73	13	0.070	95	descriptor orientatiu; no és anotació fonètica
és a dir	pa-025	64.61-70.95	clips/pa-025__s-a-dir__64.61.wav	no	6.340	0.7310	-52.57	-28.61	-23.12	0.0297	0.1745	237.53	91.10	863.46	2196.93	12	0.100	116	descriptor orientatiu; no és anotació fonètica
és a dir	pa-026	64.09-68.39	clips/pa-026__s-a-dir__64.09.wav	no	4.300	0.2150	-59.35	-49.54	-25.75	0.0584	0.2402	267.70	64.16	1977.87	2659.03	3	0.480	23	descriptor orientatiu; no és anotació fonètica
és a dir	pa-027	185.61-192.87	clips/pa-027__s-a-dir__185.61.wav	sí	7.260	0.5193	-63.67	-34.31	-20.90	0.0391	0.2487	238.33	73.10	1136.29	2710.30	15	0.060	93	descriptor orientatiu; no és anotació fonètica
és a dir	pa-029	20.17-25.95	clips/pa-029__s-a-dir__20.17.wav	no	5.780	0.5417	-46.09	-33.98	-23.30	0.0407	0.2160	294.90	132.73	999.92	2470.66	25	0.080	78	descriptor orientatiu; no és anotació fonètica
és a dir	pa-030	193.13-199.43	clips/pa-030__s-a-dir__193.13.wav	sí	6.300	0.6242	-55.68	-31.32	-23.16	0.0313	0.1357	127.04	134.36	853.36	1827.97	16	0.080	99	descriptor orientatiu; no és anotació fonètica
és a dir	pa-033	39.29-44.27	clips/pa-033__s-a-dir__39.29.wav	sí	4.980	0.5242	-58.48	-34.28	-23.78	0.0407	0.4186	300.41	177.88	1087.10	3653.54	13	0.050	62	descriptor orientatiu; no és anotació fonètica
és a dir	pa-034	319.09-323.47	clips/pa-034__s-a-dir__319.09.wav	sí	4.380	0.5642	-58.83	-32.00	-20.90	0.0266	0.1617	219.37	135.16	1011.65	2233.82	11	0.070	62	descriptor orientatiu; no és anotació fonètica
és a dir	pa-035	582.29-589.75	clips/pa-035__s-a-dir__582.29.wav	sí	7.460	0.3817	-67.27	-46.79	-23.46	0.0282	0.2016	135.83	63.45	1558.71	2497.26	10	0.080	73	descriptor orientatiu; no és anotació fonètica
és a dir	pa-039	209.05-216.11	clips/pa-039__s-a-dir__209.05.wav	no	7.060	0.5625	-56.02	-32.84	-22.29	0.0548	0.1986	150.35	24.76	1211.71	2253.40	15	0.100	99	descriptor orientatiu; no és anotació fonètica
és a dir	pa-041	259.25-265.75	clips/pa-041__s-a-dir__259.25.wav	no	6.500	0.5340	-50.78	-33.43	-22.56	0.0376	0.1568	201.61	40.52	1110.94	2522.82	15	0.050	84	descriptor orientatiu; no és anotació fonètica
és a dir	pa-043	107.25-111.75	clips/pa-043__s-a-dir__107.25.wav	sí	4.500	0.4509	-53.94	-37.29	-25.49	0.0485	0.2814	203.56	161.94	1471.95	3277.00	14	0.080	50	descriptor orientatiu; no és anotació fonètica
és a dir	pa-046	135.61-140.07	clips/pa-046__s-a-dir__135.61.wav	sí	4.460	0.6757	-43.81	-31.89	-25.72	0.0393	0.1141	216.65	72.62	889.17	1641.84	10	0.040	78	descriptor orientatiu; no és anotació fonètica
