idDivision	taula	serie	periode	valor	font	actualitzat
1961	LLENGUA QUE CONSIDERA COM A PRÒPIA	LLENGUA QUE CONSIDERA COM A PRÒPIA. ANGLÈS	2014	1.4	Departament de Política Lingüística	2022-01-29
1961	LLENGUA QUE CONSIDERA COM A PRÒPIA	LLENGUA QUE CONSIDERA COM A PRÒPIA. ANGLÈS	2018	1.8	Departament de Política Lingüística	2022-01-29
1961	LLENGUA QUE CONSIDERA COM A PRÒPIA	LLENGUA QUE CONSIDERA COM A PRÒPIA. ALTRES	2009	3.3	Departament de Política Lingüística	2022-01-29
1961	LLENGUA QUE CONSIDERA COM A PRÒPIA	LLENGUA QUE CONSIDERA COM A PRÒPIA. ALTRES	2014	2.8	Departament de Política Lingüística	2022-01-29
1961	LLENGUA QUE CONSIDERA COM A PRÒPIA	LLENGUA QUE CONSIDERA COM A PRÒPIA. ALTRES	2018	3.7	Departament de Política Lingüística	2022-01-29
1962	LLENGUA QUE VA APRENDRE A LLEGIR I ESCRIURE	LLENGUA EN QUE VA APRENDRE A LLEGIR I ESCRIURE. CATALÀ	1995	14.0	Departament de Política Lingüística	2022-01-29
1962	LLENGUA QUE VA APRENDRE A LLEGIR I ESCRIURE	LLENGUA EN QUE VA APRENDRE A LLEGIR I ESCRIURE. CATALÀ	1999	15.7	Departament de Política Lingüística	2022-01-29
1962	LLENGUA QUE VA APRENDRE A LLEGIR I ESCRIURE	LLENGUA EN QUE VA APRENDRE A LLEGIR I ESCRIURE. CATALÀ	2004	15.7	Departament de Política Lingüística	2022-01-29
1962	LLENGUA QUE VA APRENDRE A LLEGIR I ESCRIURE	LLENGUA EN QUE VA APRENDRE A LLEGIR I ESCRIURE. CATALÀ	2009	18.1	Departament de Política Lingüística	2022-01-29
1962	LLENGUA QUE VA APRENDRE A LLEGIR I ESCRIURE	LLENGUA EN QUE VA APRENDRE A LLEGIR I ESCRIURE. CASTELLÀ	1995	55.7	Departament de Política Lingüística	2022-01-29
1962	LLENGUA QUE VA APRENDRE A LLEGIR I ESCRIURE	LLENGUA EN QUE VA APRENDRE A LLEGIR I ESCRIURE. CASTELLÀ	1999	58.3	Departament de Política Lingüística	2022-01-29
1962	LLENGUA QUE VA APRENDRE A LLEGIR I ESCRIURE	LLENGUA EN QUE VA APRENDRE A LLEGIR I ESCRIURE. CASTELLÀ	2004	53.5	Departament de Política Lingüística	2022-01-29
